"res_1_min","res_2_min","res_3_min","res_4_min","res_5_min","res_6_min","res_7_min","res_8_min","res_9_min","res_10_min","upper_weber_stor_min","upper_ogden_stor_min","lower_stor_min","total_res_min","current_res_min","moderate_max","severe_max","extreme_max","SA1_max","SA2_max","SA3_max","SA4_max","SA5_max","SA6_max","SA7_max","SA8_max","SA9_max","SA10_max","SA11_max","SA12_max","SA13_max","SA14_max","SA15_max","SA16_max","SA17_max","SA18_max","SA19_max","SA20_max","upper_weber_short_max","upper_ogden_short_max","lower_short_max","system_max","k_2","k_3","k_4","k_5","k_6","k_7","k_8","k_9","k_10","k_11","k_12","k_13","k_14","k_15","k_16","k_17","k_18"
8350,57578.77578,58321.68623,20620.57316,37130.18956,3352.597239,1670.830726,182472.9996,Inf,Inf,182001.22473,5023.427965,182472.9996,369497.652295,369497.652295,0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-Inf,0,0,0,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1716.483359,45344.43725,4812.554733,16411.43202,9373.427417,1000,9.999998897,96295.91455,Inf,Inf,77739.545948,1009.999998897,96295.91455,181400.04818305,181400.04818305,0,0,0,-Inf,0,0,0,0,0,0,1540.8667326,0,0,0,4676.09176,3604.159357,4806,0,0,0,0,0,-Inf,1540.8667326,11411.415914,0,12952.2826466,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3976.520856,47948.03561,16152.65527,18285.37485,19934.47819,1000,9.999998897,177312.5566,Inf,Inf,106532.36232,1009.999998897,177312.5566,284854.918918897,284854.918918897,0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,4265.116327,503.633338,4806,0,0,0,0,0,-Inf,0,7990.814148,0,7990.814148,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6738.022124,50341.73918,29921.00096,19274.21386,29046.78622,1000,12644.14853,198189.8415,Inf,Inf,135573.618408,14367.64656,198189.8415,355849.469068,355849.469068,0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,2580.891781,0,0,0,0,0,0,0,-Inf,0,2580.891781,0,2580.891781,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10
8031.85048,51817.2237,39464.57568,19491.78109,31646.92774,1000,12475.56131,197846.0612,Inf,Inf,150737.307187,14763.891036,197846.0612,369558.80998,369558.80998,0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,2417.62824,0,0,0,0,0,0,0,-Inf,0,2417.62824,0,2417.62824000001,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10
8341.881804,61193.2456,73940,21114.13295,51200,3305.538049,12506.03865,212393.6933,Inf,Inf,215849.552974,15811.576699,212393.6933,444054.822973,444054.822973,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,-Inf,0,-Inf,0,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7674.59609,51461.68101,37046.94022,19325.96523,31001.1916,1000,9.999998897,178235.7582,Inf,Inf,146789.712187,1009.999998897,178235.7582,332876.025685897,332876.025685897,0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,2446.721802,1402.968899,4806,0,0,0,0,0,-Inf,0,8655.690701,0,8655.690701,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10
4517.365771,48318.50778,20398.59747,18495.36263,25731.37924,1000,9.999998897,184486.6248,Inf,Inf,117695.091463,1009.999998897,184486.6248,303191.716261897,303191.716261897,0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,3916.804026,181.1898598,267,0,0,0,0,0,-Inf,0,3916.804026,0,3916.804026,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4744.62517,49549.2335,27459.72971,18638.87343,27404.75239,1000,9.999998897,174497.3816,Inf,Inf,129105.685413,1009.999998897,174497.3816,312804.495611897,312804.495611897,0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,3717.797182,297.7681193,267,0,0,0,0,0,-Inf,0,3717.797182,0,3717.79718199999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2986.570157,46604.71282,10165.55597,18194.44455,19373.7204,1000,9.999998897,162873.8463,Inf,Inf,100820.734706,1009.999998897,162873.8463,273839.62245905,273839.62245905,0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,4455.821461,2052.205751,4806,0,0,0,0,0,-Inf,0,9720.300751,0,9720.300751,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
749.8500977,44440.43341,9.999999926,15952.29411,9272.234463,1000,7.621144618,90636.35173,Inf,Inf,71159.189292926,1007.621144618,90636.35173,166639.83263968,166639.83263968,0,0,0,-Inf,2239.075243,0,0,0,0,331.1412851,300.09183,0,0,0,4737.046347,5848,4806,0,0,0,0,0,-Inf,2239.075243,13773.315385,0,14377.509853,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7810.670832,51286.00049,35363.54914,19422.50616,26554.22552,1000,6782.540888,205908.2041,Inf,Inf,142443.958093,12723.062026,205908.2041,361947.738153,361947.738153,0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,2537.455444,0,0,0,0,0,0,0,-Inf,0,2537.455444,0,2537.45544400001,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10
747.3613109,24511.60654,9.999999988,10665.90908,6262.234542,1000,7.621144618,24776.25499,Inf,Inf,43981.3999494,1007.621144618,24776.25499,71163.58735138,71163.58735138,56081.578,49562.635170494,0,-Inf,1343.605544,0,0,0,0,158.127041,2024.5381827,0,0,0,4891.245236,5848,4806,0,0,0,1197,0,-Inf,2182.6652237,13846.382163,1197,15626.382163,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5
750.9999998,44571.88438,9.999999926,15796.66493,8577.865512,1000,7.621144618,83353.23303,Inf,Inf,70231.960111926,1007.621144618,83353.23303,159240.44481098,159240.44481098,7311.579883456,0,0,-Inf,2462.538737,0,0,0,0,286.267342,1762.0556483,0,0,0,4815.208498,5848,4806,0,0,0,0,0,-Inf,2586.502842,13831.367489,0,16046.6509263,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7471.834818,50605.53741,30172.34624,17571.7912,24247.66706,1000,9.999998897,163578.9252,Inf,Inf,130298.164989,1009.999998897,163578.9252,303890.245687897,303890.245687897,0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,2677.525912,1518.48127,4806,0,0,0,0,0,-Inf,0,9002.007182,0,9002.007182,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
