"","data","response","year","deliv_annual","demand_annual","request_annual","shortage_demand","shortage_request"
"243","paleo","Base",1671,605031.0037471,690783.8,622083.8,85752.7962529,17052.7962529
"244","paleo","Base",1672,618906.74415063,690783.8,622083.8,71877.05584937,3177.05584937
"245","paleo","Base",1673,620070.177862,690783.8,622083.8,70713.622138,2013.62213800001
"246","paleo","Base",1674,622083.8,690783.8,622083.8,68700,0
"247","paleo","Base",1675,620963.040604,690783.8,622083.8,69820.759396,1120.75939599999
"248","paleo","Base",1676,622083.8,690783.8,622083.8,68700,0
"249","paleo","Base",1677,620319.338927,690783.8,622083.8,70464.461073,1764.461073
"250","paleo","Base",1678,618057.041957,690783.8,622083.8,72726.758043,4026.75804299999
"251","paleo","Base",1679,619005.735945,690783.8,622083.8,71778.064055,3078.064055
"252","paleo","Base",1680,622083.8,690783.8,622083.8,68700,0
"253","paleo","Base",1681,618859.06178,690783.8,622083.8,71924.73822,3224.73822
"254","paleo","Base",1682,618880.668441,690783.8,622083.8,71903.131559,3203.131559
"255","paleo","Base",1683,620952.674432,690783.8,622083.8,69831.125568,1131.125568
"256","paleo","Base",1684,619181.3368893,690783.8,622083.8,71602.4631107,2902.4631107
"257","paleo","Base",1685,605388.04503671,690783.8,622083.8,85395.75496329,16695.75496329
"258","paleo","Base",1686,604127.7553097,690783.8,622083.8,86656.0446903,17956.0446903
"259","paleo","Base",1687,622083.8,690783.8,622083.8,68700,0
"260","paleo","Base",1688,621614.305986,690783.8,622083.8,69169.494014,469.494013999996
"261","paleo","Base",1689,618435.122665,690783.8,622083.8,72348.677335,3648.677335
"262","paleo","Base",1690,614980.765299,690783.8,622083.8,75803.034701,7103.03470099998
"263","paleo","Base",1691,619105.499344,690783.8,622083.8,71678.300656,2978.30065600001
"264","paleo","Base",1692,621874.350787,690783.8,622083.8,68909.449213,209.449213
"265","paleo","Base",1693,621336.620724,690783.8,622083.8,69447.179276,747.179275999995
"266","paleo","Base",1694,620074.466437,690783.8,622083.8,70709.333563,2009.33356299999
"267","paleo","Base",1695,617369.873891,690783.8,622083.8,73413.926109,4713.92610900001
"268","paleo","Base",1696,619459.164395,690783.8,622083.8,71324.635605,2624.635605
"269","paleo","Base",1697,618924.277577,690783.8,622083.8,71859.522423,3159.522423
"270","paleo","Base",1698,618206.516127,690783.8,622083.8,72577.283873,3877.28387299999
"271","paleo","Base",1699,618604.440616,690783.8,622083.8,72179.359384,3479.359384
"272","paleo","Base",1700,620953.791561,690783.8,622083.8,69830.008439,1130.008439
"273","paleo","Base",1701,622083.8,690783.8,622083.8,68700,0
"274","paleo","Base",1702,622083.8,690783.8,622083.8,68700,0
"275","paleo","Base",1703,615156.191789,690783.8,622083.8,75627.608211,6927.608211
"276","paleo","Base",1704,612934.5844166,690783.8,622083.8,77849.2155834,9149.2155834
"277","paleo","Base",1705,614149.5215358,690783.8,622083.8,76634.2784642,7934.27846420001
"278","paleo","Base",1706,605585.19287,690783.8,622083.8,85198.60713,16498.60713
"279","paleo","Base",1707,603268.3312578,690783.8,622083.8,87515.4687422,18815.4687422
"280","paleo","Base",1708,598144.6040188,690783.8,622083.8,92639.1959812,23939.1959812
"281","paleo","Base",1709,608666.8649216,690783.8,622083.8,82116.9350784,13416.9350784
"282","paleo","Base",1710,606279.3915033,690783.8,622083.8,84504.4084967,15804.4084967
"283","paleo","Base",1711,617566.7139336,690783.8,622083.8,73217.0860664,4517.0860664
"284","paleo","Base",1712,617341.9976185,690783.8,622083.8,73441.8023815,4741.8023815
